ID,Area,DW,Year,ID_num,Tissue,dta_km,dtfl_km,Gender,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
47_04_inksac,47,100.9,2021,04,Inksac,544,181,0,49°33'S,59°59'W,6,310.00,875.8,3,1.996,0.291,5 BLOQ,0.925
47_05_inksac,47,104.0,2021,05,Inksac,544,181,1,49°33'S,59°59'W,6,267.00,572.8,5,5.817,0.06,5 BLOQ,2.074
47_06_inksac,47,107.6,2021,06,Inksac,544,181,0,49°33'S,59°59'W,6,269.00,478.6,3,0.699,0.036,0,1.785
47_07_inksac,47,106.7,2021,07,Inksac,544,181,1,49°33'S,59°59'W,6,250.00,439.4,5,3.58,0.03,5 BLOQ,1.068
47_08_inksac,47, 58.1,2021,08,Inksac,544,181,0,49°33'S,59°59'W,6,273.00,574.7,4,3.628,0.347,5 BLOQ,4.07
47_09_inksac,47,102.9,2021,09,Inksac,544,181,0,49°33'S,59°59'W,6,273.00,671.6,4,0.688,0.106,5 BLOQ,5.769
47_10_inksac,47,103.4,2021,10,Inksac,544,181,0,49°33'S,59°59'W,6,276.00,512.9,3,0.261,0.041,0,3.072
47_11_inksac,47,108.7,2021,11,Inksac,544,181,0,49°33'S,59°59'W,6,310.00,754.1,4,0,0.125,0,1.656
47_12_inksac,47,102.2,2021,12,Inksac,544,181,1,49°33'S,59°59'W,6,241.00,404.0,4,0.365,0.424,5 BLOQ,1.7
47_13_inksac,47,105.3,2021,13,Inksac,544,181,0,49°33'S,59°59'W,6,257.00,462.9,3,0,0.052,0,2.028
47_14_inksac,47,101.7,2021,14,Inksac,544,181,1,49°33'S,59°59'W,6,257.00,445.3,4,0.346,0.277,0,2.189
47_15_inksac,47,100.7,2021,15,Inksac,544,181,1,49°33'S,59°59'W,6,274.90,376.8,3,0.268,0.26,0,8.386
49_01_inksac,49,105.2,2021,01,Inksac,376,460,1,46°55'S,60°51'W,5,242.30,378.4,3,0.238,0.028,0,1.758
49_02_inksac,49,108.1,2021,02,Inksac,376,460,0,46°55'S,60°51'W,5,261.54,463.9,3,0.339,0.381,5 BLOQ,2.1
